,name,code,rarity,min_price,avg_price
4,Floodgate Trap Hole,TDIL,Ultra Rare,1.98,3.5
5,Floodgate Trap Hole,SBTK,Ultra Rare,3.97,7.23
6,Floodgate Trap Hole,OPTP,Super Rare,199.99,199.99
0,Morphtronic Scannen,POTE,Common,0.5,1.62
0,"Jormungandr, Generaider Boss of Eternity",GFP2,Ultra Rare,0.29,1.61
1,"Jormungandr, Generaider Boss of Eternity",MYFI,Secret Rare,0.99,2.09
0,Nightmare Wheel,BP01,Common,0.49,2.52
1,Nightmare Wheel,SDOK,Common,0.68,1.81
2,Nightmare Wheel,LCJW,Common,0.69,2.12
3,Nightmare Wheel,MIL1,Common,0.78,1.7
4,Nightmare Wheel,SDMA,Common,0.99,1.78
5,Nightmare Wheel,BP01,Starfoil Rare,1.49,2.15
6,Nightmare Wheel,RP02,Rare,2.99,13.34
7,Nightmare Wheel,SS05,Common,5.19,5.19
8,Nightmare Wheel,PGD-,Ultra Rare,5.48,13.2
9,Nightmare Wheel,DR1-,Ultra Rare,5.79,12.93
10,Nightmare Wheel,STP3,Super Rare,8.23,20.1
0,Malefic Cyber End Dragon,GFP2,Ultra Rare,0.37,1.7
1,Malefic Cyber End Dragon,YMP1,Secret Rare,3.14,7.45
0,Vision HERO Multiply Guy,GFP2,Ultra Rare,0.33,1.63
1,Vision HERO Multiply Guy,BLHR,Ultra Rare,0.36,1.91
0,Gunkan Suship Shirauo,BODE,Common,0.42,1.69
1,Gunkan Suship Shirauo,MP22,Common,0.42,1.13
0,Gigantic Spright,POTE,Ultra Rare,2.83,4.79
0,You and A.I.,MP22,Common,0.42,1.08
1,You and A.I.,LIOV,Common,0.43,1.79
0,Omni Dragon Brotaur,SDAZ,Common,0.42,1.21
1,Omni Dragon Brotaur,MP20,Ultra Rare,1.17,1.73
2,Omni Dragon Brotaur,DANE,Secret Rare,2.84,5.57
0,Elemental HERO Shining Flare Wingman,HAC1,Common,0.42,1.56
1,Elemental HERO Shining Flare Wingman,BLAR,Ultra Rare,0.49,1.52
2,Elemental HERO Shining Flare Wingman,HAC1,Duel Terminal Normal Parallel Rare,1.08,1.63
3,Elemental HERO Shining Flare Wingman,DR04,Ultra Rare,3.0,74.66
4,Elemental HERO Shining Flare Wingman,EEN-,Ultra Rare,3.99,8.13
5,Elemental HERO Shining Flare Wingman,EEN-,Ultimate Rare,3.99,8.13
6,Elemental HERO Shining Flare Wingman,LCGX,Secret Rare,4.75,7.96
7,Elemental HERO Shining Flare Wingman,CT03,Secret Rare,5.49,10.03
8,Elemental HERO Shining Flare Wingman,DT03,Duel Terminal Rare Parallel Rare,7.99,23.77
0,Traptrix Cularia,MP22,Super Rare,0.5,1.15
1,Traptrix Cularia,LIOV,Ultra Rare,1.48,2.89
0,Exosister Irene,GRCR,Rare,0.29,1.54
0,Meowseclick,MP22,Common,0.42,1.12
1,Meowseclick,BODE,Super Rare,0.5,1.2
0,Rokket Caliber,MP22,Common,0.42,1.13
1,Rokket Caliber,BODE,Ultra Rare,1.48,2.65
0,Earthquake,SGX1,Common,0.54,1.16
1,Earthquake,BP02,Mosaic Rare,0.64,1.26
2,Earthquake,BP03,Shatterfoil Rare,0.64,1.29
3,Earthquake,AST-,Common,0.75,1.19
4,Earthquake,BP03,Common,0.97,1.29
5,Earthquake,DR2-,Common,0.99,1.45
6,Earthquake,YSDS,Common,0.99,1.29
7,Earthquake,BP02,Common,0.99,1.24
8,Earthquake,DT02,Duel Terminal Normal Parallel Rare,4.22,4.22
0,Compulsory Evacuation Device,TAMA,Rare,0.44,1.78
1,Compulsory Evacuation Device,SD2-,Common,0.75,1.37
2,Compulsory Evacuation Device,SDBE,Common,0.8,1.38
3,Compulsory Evacuation Device,YS18,Common,0.83,1.35
4,Compulsory Evacuation Device,YS17,Common,0.98,1.39
5,Compulsory Evacuation Device,SDMM,Common,0.99,1.66
6,Compulsory Evacuation Device,BP01,Common,0.99,2.27
7,Compulsory Evacuation Device,BP01,Starfoil Rare,0.99,2.27
8,Compulsory Evacuation Device,SDHS,Common,0.99,1.51
9,Compulsory Evacuation Device,IOC-,Rare,0.99,1.66
10,Compulsory Evacuation Device,HSRD,Common,1.0,1.44
11,Compulsory Evacuation Device,YSD-,Common,1.03,1.43
12,Compulsory Evacuation Device,SD7-,Common,1.19,1.55
13,Compulsory Evacuation Device,YSDJ,Common,1.22,1.69
14,Compulsory Evacuation Device,DR2-,Rare,1.58,2.23
15,Compulsory Evacuation Device,PGL2,Gold Rare,1.64,2.79
16,Compulsory Evacuation Device,GLD2,Common,1.7,2.62
17,Compulsory Evacuation Device,DUOV,Ultra Rare,1.73,2.72
18,Compulsory Evacuation Device,DL09,Rare,1.99,6.39
19,Compulsory Evacuation Device,NKRT,Platinum Rare,3.13,4.45
20,Compulsory Evacuation Device,LCYW,Secret Rare,3.99,6.95
21,Compulsory Evacuation Device,LCJW,Secret Rare,4.89,7.57
22,Compulsory Evacuation Device,IOC-,Rare,4.98,4.98
23,Compulsory Evacuation Device,DT03,Duel Terminal Normal Parallel Rare,5.49,6.1
24,Compulsory Evacuation Device,TU04,Super Rare,23.89,58.5
0,V-Tiger Jet,EEN-,Common,0.5,1.28
1,V-Tiger Jet,SGX1,Common,0.54,1.17
2,V-Tiger Jet,DP2-,Common,0.99,1.32
3,V-Tiger Jet,LCKC,Ultra Rare,1.04,1.72
4,V-Tiger Jet,DR04,Common,1.53,3.7
0,Icejade Curse,DIFO,Common,0.41,1.68
0,Beyond the Pendulum,DIFO,Secret Rare,15.38,18.97
0,Merry Melffys,POTE,Common,0.5,1.62
0,Naturia Bamboo Shoot,HAC1,Duel Terminal Ultra Parallel Rare,0.99,1.51
1,Naturia Bamboo Shoot,DREV,Ultra Rare,6.94,11.93
2,Naturia Bamboo Shoot,DREV,Ultimate Rare,6.94,12.62
0,Raging Flame Sprite,RDS-,Common,0.5,1.28
1,Raging Flame Sprite,SGX1,Common,0.54,1.18
2,Raging Flame Sprite,DR3-,Common,0.99,3.05
3,Raging Flame Sprite,BP01,Common,0.99,1.48
4,Raging Flame Sprite,SDOK,Common,1.0,1.46
5,Raging Flame Sprite,SD3-,Common,1.11,1.28
6,Raging Flame Sprite,BP01,Starfoil Rare,1.15,1.4
0,Windwitch Chimes,MP22,Common,0.25,1.11
1,Windwitch Chimes,BLVO,Super Rare,0.49,1.74
0,Propa Gandake,POTE,Common,0.29,1.67
0,Therion Cross,DIFO,Super Rare,0.62,1.67
0,Ad Libitum of Despia,MP22,Common,0.54,1.19
1,Ad Libitum of Despia,BODE,Super Rare,1.45,1.84
0,Farewelcome Labrynth,TAMA,Rare,0.5,1.75
0,Number C40: Gimmick Puppet of Dark Strings,LDS3,Ultra Rare,0.35,1.19
1,Number C40: Gimmick Puppet of Dark Strings,PGLD,Gold Secret Rare,1.66,4.69
0,Tearlaments Kaleido-Heart,POTE,Secret Rare,4.57,6.05
0,Over Destiny,SGX1,Common,0.54,1.17
1,Over Destiny,LEHD,Common,0.57,1.67
2,Over Destiny,DESO,Super Rare,0.67,1.22
3,Over Destiny,DP05,Super Rare,0.99,1.69
4,Over Destiny,LCGX,Rare,0.99,1.47
0,Lonefire Blossom,OP19,Common,0.99,1.73
1,Lonefire Blossom,FUEN,Super Rare,1.0,2.06
2,Lonefire Blossom,MYFI,Super Rare,1.0,2.03
3,Lonefire Blossom,AP04,Common,1.18,2.13
4,Lonefire Blossom,SESL,Super Rare,1.3,2.05
5,Lonefire Blossom,PTDN,Rare,1.79,2.78
6,Lonefire Blossom,PGLD,Gold Rare,1.79,3.39
7,Lonefire Blossom,AC18,Super Rare,1.97,2.44
8,Lonefire Blossom,CP07,Super Rare,60.0,244.38
0,Junk Converter,LDS3,Ultra Rare,0.5,1.42
1,Junk Converter,LED6,Super Rare,1.45,2.93
0,Gokipole,GRCR,Rare,0.41,1.65
1,Gokipole,SOFU,Rare,0.82,1.54
2,Gokipole,MP19,Common,0.85,1.29
0,Vernusylph of the Awakening Forests,POTE,Super Rare,0.54,1.3
0,Divine Arsenal AA-ZEUS - Sky Thunder,MP21,Ultra Rare,11.99,17.1
1,Divine Arsenal AA-ZEUS - Sky Thunder,PHRA,Secret Rare,20.0,29.41
2,Divine Arsenal AA-ZEUS - Sky Thunder,PHRA,Starlight Rare,20.0,27.33
3,Divine Arsenal AA-ZEUS - Sky Thunder,OP18,Ultimate Rare,44.98,50.75
0,Cyber Angel Izana,LDS2,Common,0.54,1.72
1,Cyber Angel Izana,SGX1,Common,0.54,1.18
2,Cyber Angel Izana,LED4,Super Rare,1.34,2.06
0,Branded Lost,SDAZ,Common,0.29,1.2
0,Ojama Knight,SGX1,Common,0.54,1.27
1,Ojama Knight,TAEV,Common,1.39,2.13
0,White Knight of Dogmatika,MP22,Super Rare,0.33,1.14
1,White Knight of Dogmatika,LIOV,Ultra Rare,2.67,4.29
0,Gravelstorm,SGX1,Common,0.54,1.16
1,Gravelstorm,GENF,Common,0.99,1.28
0,Angel Statue - Azurune,MP22,Common,0.25,1.12
1,Angel Statue - Azurune,BLVO,Super Rare,0.35,1.27
0,Undaunted Bumpkin Beast,BODE,Common,0.42,1.67
1,Undaunted Bumpkin Beast,MP22,Common,0.46,1.1
0,Ultimate Flagship Ursatron,BODE,Super Rare,0.5,1.65
1,Ultimate Flagship Ursatron,MP22,Rare,0.54,1.14
0,Yang Zing Brutality,GFP2,Ultra Rare,0.48,1.62
1,Yang Zing Brutality,NECH,Common,0.57,1.22
2,Yang Zing Brutality,MP15,Common,0.57,1.22
0,Flamvell Baby,HAC1,Common,0.42,1.66
1,Flamvell Baby,HA02,Super Rare,0.99,1.28
2,Flamvell Baby,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.73
3,Flamvell Baby,DT02,Duel Terminal Normal Parallel Rare,2.49,2.61
0,Libromancer Magigirl,BACH,Super Rare,0.33,1.25
0,"Hela, Generaider Boss of Doom",GFP2,Ultra Rare,0.45,1.6
1,"Hela, Generaider Boss of Doom",MYFI,Super Rare,1.39,3.35
0,Nine Pillars of Yang Zing,INOV,Rare,0.35,1.64
1,Nine Pillars of Yang Zing,GFP2,Ultra Rare,0.39,1.7
0,Black Dragon Collapserpent,SDAZ,Common,0.42,1.15
1,Black Dragon Collapserpent,MGED,Rare,0.54,1.84
2,Black Dragon Collapserpent,SHSP,Common,0.61,1.39
3,Black Dragon Collapserpent,MP14,Common,0.99,1.35
4,Black Dragon Collapserpent,SR02,Common,0.99,1.36
5,Black Dragon Collapserpent,SDSE,Common,1.12,1.41
6,Black Dragon Collapserpent,BLHR,Ultra Rare,1.14,1.78
7,Black Dragon Collapserpent,AP06,Super Rare,1.64,3.0
0,Reptilianne Lamia,GFP2,Ultra Rare,0.48,1.66
1,Reptilianne Lamia,RIRA,Common,0.8,1.85
0,Slower Swallow,DAMA,Common,0.43,1.74
1,Slower Swallow,MP22,Super Rare,0.48,1.14
0,Naturia Ragweed,HAC1,Common,0.25,1.66
1,Naturia Ragweed,HA04,Super Rare,0.35,1.29
2,Naturia Ragweed,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.75
3,Naturia Ragweed,DT04,Duel Terminal Normal Parallel Rare,1.0,1.0
0,Exploder Dragon,SGX1,Common,0.18,1.19
1,Exploder Dragon,PGLD,Gold Rare,0.61,1.78
2,Exploder Dragon,GLD3,Gold Rare,0.69,5.07
3,Exploder Dragon,BP03,Common,0.71,2.2
4,Exploder Dragon,YS15,Shatterfoil Rare,0.75,2.14
5,Exploder Dragon,BP03,Shatterfoil Rare,0.99,2.58
6,Exploder Dragon,YS15,Common,0.99,2.93
7,Exploder Dragon,WC07,Super Rare,2.24,3.75
8,Exploder Dragon,DT04,Duel Terminal Normal Parallel Rare,3.14,3.14
0,A.I. Meet You,LIOV,Common,0.33,1.3
1,A.I. Meet You,MP22,Ultra Rare,0.43,1.16
0,Puppet Parade,LDS3,Common,0.54,1.16
1,Puppet Parade,LED5,Common,1.14,1.24
0,E - Emergency Call,LDS3,Common,0.49,1.67
1,E - Emergency Call,SDHS,Common,1.08,2.18
2,E - Emergency Call,DP03,Common,1.2,2.53
3,E - Emergency Call,DR04,Common,1.24,3.93
4,E - Emergency Call,EOJ-,Common,1.36,2.19
5,E - Emergency Call,LCGX,Common,1.88,2.86
6,E - Emergency Call,RYMP,Secret Rare,5.55,20.48
0,Immortal Dragon,DIFO,Super Rare,0.77,1.78
0,Cartorhyn the Hidden Gem of the Seafront,POTE,Common,0.29,1.63
0,Rainbow Dragon,SGX1,Common,0.25,1.22
1,Rainbow Dragon,SDCB,Ultra Rare,0.25,1.24
2,Rainbow Dragon,RYMP,Common,0.69,2.1
3,Rainbow Dragon,LED2,Common,0.69,1.78
4,Rainbow Dragon,LDS1,Common,0.69,1.75
5,Rainbow Dragon,SGX1,Secret Rare,1.09,1.22
6,Rainbow Dragon,LCGX,Ultra Rare,4.99,8.4
7,Rainbow Dragon,CT04,Secret Rare,9.06,16.73
8,Rainbow Dragon,TAEV,Secret Rare,31.0,46.93
9,Rainbow Dragon,TAEV,Ghost Rare,31.0,47.69
0,Cyber Angel Benten,SGX1,Common,0.25,1.2
1,Cyber Angel Benten,GEIM,Rare,0.29,1.65
2,Cyber Angel Benten,LED4,Common,0.35,1.28
3,Cyber Angel Benten,DLCS,Common,0.69,1.2
4,Cyber Angel Benten,DPDG,Super Rare,3.1,4.5
5,Cyber Angel Benten,LART,Ultra Rare,5.99,10.68
6,Cyber Angel Benten,DRL3,Secret Rare,8.0,15.19
0,Parametalfoes Fusion,BLVO,Common,0.25,1.74
1,Parametalfoes Fusion,MP22,Rare,0.29,1.17
0,Chaos Nephthys,BACH,Ultra Rare,0.64,1.48
0,Giant Beetrooper Invincible Atlas,MP22,Common,0.25,1.15
1,Giant Beetrooper Invincible Atlas,DAMA,Ultra Rare,0.87,2.56
0,Patissciel Couverture,DIFO,Super Rare,0.53,1.7
1,Patissciel Couverture,DIFO,Starlight Rare,1.12,1.79
0,D/D/D Headhunt,BACH,Common,0.33,1.65
0,Brilliant Rose,POTE,Common,0.29,1.61
0,Dragunity Tribus,HAC1,Common,0.42,1.72
1,Dragunity Tribus,SDDL,Common,0.65,1.22
2,Dragunity Tribus,HA03,Super Rare,0.95,1.26
3,Dragunity Tribus,HAC1,Duel Terminal Normal Parallel Rare,1.03,1.78
4,Dragunity Tribus,DT03,Duel Terminal Rare Parallel Rare,2.21,5.16
0,Dinomorphia Diplos,BACH,Common,0.25,1.6
0,"Yakusa, Lord of the Eight Thunders",DIFO,Super Rare,0.62,1.68
0,Runick Freezing Curses,TAMA,Super Rare,0.49,1.46
0,Ojama Country,GFTP,Ultra Rare,0.33,1.59
1,Ojama Country,SGX1,Common,0.54,1.2
2,Ojama Country,RGBT,Rare,1.29,1.86
0,Runick Tip,TAMA,Ultra Rare,32.0,41.23
1,Runick Tip,TAMA,Collector's Rare,34.2,40.44
0,Volcanic Rocket,SGX1,Common,0.49,1.27
1,Volcanic Rocket,SDOK,Common,0.99,2.57
2,Volcanic Rocket,SGX1,Secret Rare,1.06,1.45
3,Volcanic Rocket,FOTB,Super Rare,2.75,12.11
4,Volcanic Rocket,GLD2,Gold Rare,2.79,5.88
5,Volcanic Rocket,DT05,Duel Terminal Normal Parallel Rare,4.46,4.46
6,Volcanic Rocket,FOTB,Secret Rare,40.0,113.54
0,Sunvine Cross Breed,LIOV,Common,0.25,1.7
1,Sunvine Cross Breed,MP22,Super Rare,0.35,1.14
0,Wrath of Neos,HAC1,Common,0.42,1.64
1,Wrath of Neos,HAC1,Duel Terminal Normal Parallel Rare,1.06,1.7
2,Wrath of Neos,HA01,Secret Rare,1.2,1.71
3,Wrath of Neos,DT01,Duel Terminal Ultra Parallel Rare,3.98,9.19
0,Marincess Coral Anemone,LED9,Rare,0.33,1.63
1,Marincess Coral Anemone,MP20,Ultra Rare,1.64,2.69
2,Marincess Coral Anemone,RIRA,Secret Rare,8.59,11.07
0,Stardust Synchron,MP22,Ultra Rare,0.64,1.3
1,Stardust Synchron,DAMA,Secret Rare,4.0,10.66
0,Number 97: Draglubion,GFP2,Ultra Rare,0.75,1.69
1,Number 97: Draglubion,BLHR,Secret Rare,3.64,5.4
0,Vampire Fascinator,BACH,Super Rare,0.62,1.38
0,Oracle of the Sun,LED5,Common,0.25,1.79
1,Oracle of the Sun,LDS3,Common,0.29,1.15
2,Oracle of the Sun,ABPF,Super Rare,0.35,1.76
3,Oracle of the Sun,BP02,Common,0.35,1.36
4,Oracle of the Sun,BP02,Mosaic Rare,0.35,1.44
5,Oracle of the Sun,LC5D,Common,0.35,1.32
0,Ghostrick Break,WSUP,Super Rare,0.65,1.73
1,Ghostrick Break,OP18,Common,1.06,1.51
0,Crystal Miracle,SDCB,Common,0.25,1.19
0,Chronomaly Vimana,MP22,Rare,0.5,1.17
1,Chronomaly Vimana,DAMA,Ultra Rare,0.99,1.59
0,Scar of the Vendread,POTE,Common,0.5,1.66
0,Nordic Relic Svalinn,BACH,Super Rare,0.5,1.62
0,Crystal Brilliance,SDCB,Common,0.54,1.14
0,Instant Contact,POTE,Secret Rare,4.9,8.42
0,Crystal Beast Amber Mammoth,SGX1,Common,0.54,1.16
1,Crystal Beast Amber Mammoth,SDCB,Common,0.54,1.14
2,Crystal Beast Amber Mammoth,LDS1,Common,0.64,1.6
3,Crystal Beast Amber Mammoth,FOTB,Common,0.99,1.36
4,Crystal Beast Amber Mammoth,DP07,Common,0.99,1.5
5,Crystal Beast Amber Mammoth,LCGX,Common,0.99,1.59
6,Crystal Beast Amber Mammoth,RYMP,Super Rare,7.76,12.34
0,Greater Polymerization,MP22,Prismatic Secret Rare,0.49,1.52
1,Greater Polymerization,BLVO,Ultra Rare,1.85,3.76
0,Branded Sword,SDAZ,Super Rare,0.48,1.36
0,Fallen of Albaz,SDAZ,Common,0.25,1.36
1,Fallen of Albaz,MP21,Ultra Rare,1.23,2.94
2,Fallen of Albaz,ROTD,Secret Rare,24.0,35.69
3,Fallen of Albaz,OP19,Ultimate Rare,43.66,49.06
0,Heroic Challenger - Thousand Blades,WSUP,Super Rare,0.99,1.85
1,Heroic Challenger - Thousand Blades,OP19,Common,1.02,1.37
0,Virtual World Hime - Nyannyan,GRCR,Rare,0.38,1.56
1,Virtual World Hime - Nyannyan,PHRA,Super Rare,1.12,1.91
2,Virtual World Hime - Nyannyan,MP21,Prismatic Secret Rare,1.23,2.05
0,Vernusylph and the Flower Buds,POTE,Common,0.5,1.65
0,Waboku,SDZW,Common,0.25,1.64
1,Waboku,YSYR,Common,0.25,1.64
2,Waboku,SDCR,Common,0.25,1.7
3,Waboku,SYE-,Common,0.35,1.61
4,Waboku,SD7-,Common,0.35,1.71
5,Waboku,SDJ-,Common,0.35,1.7
6,Waboku,BP02,Common,0.49,1.74
7,Waboku,SDP-,Common,0.49,1.58
8,Waboku,HAC1,Common,0.54,1.25
9,Waboku,SDY-,Common,0.66,1.59
10,Waboku,SDY-,Common,0.85,1.73
11,Waboku,SBCB,Common,0.99,3.18
12,Waboku,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.29
13,Waboku,BP02,Mosaic Rare,1.35,1.67
14,Waboku,DT03,Duel Terminal Normal Parallel Rare,38.02,39.98
0,Leraje the God of Archery,GFP2,Ultra Rare,0.45,1.64
0,Armed Dragon Flash,MP22,Rare,0.54,1.22
1,Armed Dragon Flash,BLVO,Secret Rare,2.29,5.03
2,Armed Dragon Flash,BLVO,Ultra Rare,14.99,20.66
0,Zexal Entrust,MP22,Common,0.25,1.12
1,Zexal Entrust,LIOV,Common,0.35,1.74
0,Magicians' Souls,LED6,Ultra Rare,22.22,49.55
1,Magicians' Souls,LDS3,Ultra Rare,23.7,26.39
2,Magicians' Souls,BROL,Secret Rare,25.0,37.24
0,Crystal Aegis,SDCB,Common,0.25,1.17
0,Dark Ruler No More,SDAZ,Common,1.67,3.54
1,Dark Ruler No More,MP22,Ultra Rare,2.0,3.84
2,Dark Ruler No More,SDCH,Common,2.33,4.33
3,Dark Ruler No More,TN19,Prismatic Secret Rare,9.99,16.05
0,Inzektor Centipede,GRCR,Rare,0.41,1.68
1,Inzektor Centipede,ORCS,Common,0.58,1.25
2,Inzektor Centipede,AP01,Super Rare,1.93,3.94
0,Despian Proskenion,MP22,Common,0.46,1.17
1,Despian Proskenion,DAMA,Super Rare,1.66,2.25
0,Cupid Pitch,BODE,Common,0.38,1.62
1,Cupid Pitch,GFP2,Ultra Rare,0.76,1.91
0,"Carpiponica, Mystical Beast of the Forest",DAMA,Common,0.43,1.79
1,"Carpiponica, Mystical Beast of the Forest",MP22,Common,0.46,1.12
0,Starlit Papillon,GRCR,Rare,0.41,1.71
0,Bravedrive,BODE,Common,0.42,1.77
1,Bravedrive,MP22,Common,0.54,1.12
0,The Agent of Judgment - Saturn,GFP2,Ultra Rare,0.43,1.64
1,The Agent of Judgment - Saturn,SDLS,Common,0.98,1.31
2,The Agent of Judgment - Saturn,CP03,Rare,1.44,2.05
3,The Agent of Judgment - Saturn,AST-,Ultra Rare,1.98,4.05
4,The Agent of Judgment - Saturn,DR2-,Super Rare,3.27,5.95
0,Ghostrick Dullahan,GFP2,Ultra Rare,0.47,1.26
1,Ghostrick Dullahan,LVAL,Rare,1.0,1.92
2,Ghostrick Dullahan,MP14,Rare,1.57,3.69
0,Ojamagic,SGX1,Common,0.54,1.2
1,Ojamagic,LED2,Common,0.99,1.37
2,Ojamagic,EEN-,Common,1.0,1.32
3,Ojamagic,DP2-,Rare,1.1,1.68
4,Ojamagic,DR04,Rare,18.99,25.62
0,Vision HERO Gravito,GFP2,Ultra Rare,0.33,1.57
1,Vision HERO Gravito,BLHR,Ultra Rare,0.64,2.03
0,Warrior Lady of the Wasteland,SGX1,Common,0.54,1.19
1,Warrior Lady of the Wasteland,SD5-,Common,0.99,1.63
2,Warrior Lady of the Wasteland,YS11,Common,1.21,1.64
3,Warrior Lady of the Wasteland,DT04,Duel Terminal Normal Parallel Rare,3.56,3.93
0,Kairyu-Shin's Dark Reef,LED9,Rare,1.0,1.77
0,Detonate,BROL,Ultra Rare,0.33,1.66
1,Detonate,HAC1,Common,0.42,1.71
2,Detonate,HA01,Super Rare,0.66,1.42
3,Detonate,YGLD,Common,0.73,1.21
4,Detonate,LCYW,Common,0.99,1.3
5,Detonate,HAC1,Duel Terminal Normal Parallel Rare,1.05,1.79
6,Detonate,AC19,Super Rare,1.19,2.24
7,Detonate,DT01,Duel Terminal Normal Parallel Rare,1.19,1.49
0,Elemental HERO Plasma Vice,SGX1,Common,0.25,1.43
1,Elemental HERO Plasma Vice,LCGX,Common,1.99,3.76
2,Elemental HERO Plasma Vice,CT04,Secret Rare,6.75,13.59
3,Elemental HERO Plasma Vice,GLAS,Secret Rare,32.99,70.08
0,Samsara Dragon,GFP2,Ultra Rare,0.48,1.59
0,Gimmick Puppet Terror Baby,LDS3,Common,0.54,1.15
1,Gimmick Puppet Terror Baby,LED5,Rare,0.64,1.44
0,Inzektor Picofalena,GRCR,Super Rare,0.4,1.62
1,Inzektor Picofalena,FLOD,Common,0.75,1.24
2,Inzektor Picofalena,MP19,Common,0.98,1.26
3,Inzektor Picofalena,OP18,Super Rare,1.07,1.51
0,Libromancer Agent,BACH,Super Rare,0.46,1.31
0,Flowerdino,BACH,Common,0.25,1.73
0,Arcana Knight Joker,KICO,Rare,0.29,1.58
1,Arcana Knight Joker,ANPR,Rare,0.69,1.91
2,Arcana Knight Joker,SDMY,Common,0.88,1.83
3,Arcana Knight Joker,DT04,Duel Terminal Rare Parallel Rare,1.9,7.92
4,Arcana Knight Joker,STP3,Common,3.45,3.95
5,Arcana Knight Joker,LCYW,Secret Rare,3.99,12.08
6,Arcana Knight Joker,SBLS,Ultra Rare,6.99,9.24
0,Libromancer Mystigirl,DIFO,Super Rare,0.6,1.71
0,Dragonlark Pairen,DAMA,Common,0.35,1.76
1,Dragonlark Pairen,MP22,Ultra Rare,0.39,1.2
0,Blue-Eyes Tyrant Dragon,BACH,Ultra Rare,5.98,7.61
0,Hero Flash!!,LDS3,Common,0.54,1.15
1,Hero Flash!!,EOJ-,Rare,0.99,1.49
2,Hero Flash!!,LCGX,Rare,0.99,1.35
3,Hero Flash!!,DP03,Common,1.13,1.45
4,Hero Flash!!,EOJ-,Ultimate Rare,1.22,1.37
5,Hero Flash!!,RYMP,Secret Rare,1.39,2.9
6,Hero Flash!!,DR04,Common,1.45,1.97
0,Artifact Scythe,SDAZ,Common,0.29,1.3
1,Artifact Scythe,PRIO,Super Rare,1.48,2.67
2,Artifact Scythe,BLHR,Ultra Rare,1.62,3.4
3,Artifact Scythe,MP15,Super Rare,1.71,3.54
4,Artifact Scythe,PRIO,Ultra Rare,5.25,7.11
0,D/D/D Supersight King Zero Maxwell,LIOV,Common,0.43,1.61
1,D/D/D Supersight King Zero Maxwell,MP22,Ultra Rare,0.46,1.14
0,Moon Dragon Quilla,LDS3,Common,0.54,1.15
1,Moon Dragon Quilla,LED5,Common,0.66,1.73
2,Moon Dragon Quilla,LC5D,Common,0.99,1.52
3,Moon Dragon Quilla,ABPF,Ultra Rare,2.0,4.68
4,Moon Dragon Quilla,ABPF,Ultimate Rare,2.08,3.86
0,Barian's Chaos Draw,LED9,Super Rare,0.65,1.18
0,"Goldenhair, the Newest Plunder Patroll",ETCO,Common,0.25,1.92
1,"Goldenhair, the Newest Plunder Patroll",GFP2,Ultra Rare,0.56,1.33
0,Fabled Leviathan,HAC1,Common,0.42,1.64
1,Fabled Leviathan,HAC1,Duel Terminal Normal Parallel Rare,1.02,1.67
2,Fabled Leviathan,HA03,Secret Rare,1.34,1.8
3,Fabled Leviathan,DT03,Duel Terminal Ultra Parallel Rare,2.83,12.95
0,Tenyi Spirit - Adhara,RIRA,Rare,0.49,1.75
1,Tenyi Spirit - Adhara,GFP2,Ultra Rare,0.66,1.55
2,Tenyi Spirit - Adhara,OP12,Super Rare,0.8,1.71
3,Tenyi Spirit - Adhara,MP20,Common,0.89,1.64
0,"Gizmek Inaba, the Hopping Hare of Hakuto",MP22,Common,0.25,1.13
1,"Gizmek Inaba, the Hopping Hare of Hakuto",DAMA,Super Rare,0.35,1.7
0,Predaprime Fusion,LDS3,Common,0.54,1.17
1,Predaprime Fusion,LED5,Rare,1.19,1.66
0,Labrynth Labyrinth,TAMA,Super Rare,0.37,1.67
1,Labrynth Labyrinth,TAMA,Collector's Rare,1.04,1.82
0,Evil HERO Adusted Gold,LDS3,Ultra Rare,2.99,4.91
1,Evil HERO Adusted Gold,BROL,Secret Rare,5.48,8.87
2,Evil HERO Adusted Gold,LED5,Ultra Rare,9.74,19.76
0,Scareclaw Belone,DIFO,Common,0.29,1.72
0,Lord of the Heavenly Prison,MP22,Prismatic Secret Rare,2.73,3.88
1,Lord of the Heavenly Prison,BODE,Secret Rare,5.25,17.82
0,Chronicle Magician,GFP2,Ultra Rare,1.09,1.49
0,Metalfoes Vanisher,MP22,Common,0.46,1.11
1,Metalfoes Vanisher,BLVO,Super Rare,0.5,1.77
0,Sacred Spirit of the Ice Barrier,HAC1,Common,0.42,1.66
1,Sacred Spirit of the Ice Barrier,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.71
2,Sacred Spirit of the Ice Barrier,HA04,Super Rare,1.09,1.27
3,Sacred Spirit of the Ice Barrier,DT04,Duel Terminal Normal Parallel Rare,3.25,3.25
0,Icejade Acti,MP22,Common,0.25,1.13
1,Icejade Acti,BODE,Common,0.33,1.67
0,Labrynth Set-Up,TAMA,Super Rare,0.49,1.67
0,Performapal Celestial Magician,LDS3,Ultra Rare,0.98,1.44
1,Performapal Celestial Magician,LED6,Super Rare,1.69,3.93
0,Doble Passe,SGX1,Common,0.54,1.17
1,Doble Passe,DLCS,Common,0.99,1.2
